OBJECTID,Neighborhood_2010_FID_BlockG,Neighborhood_2010_STATEFP10,Neighborhood_2010_COUNTYFP10,Neighborhood_2010_TRACTCE10,Neighborhood_2010_BLKGRPCE10,Neighborhood_2010_GEOID10,Neighborhood_2010_NAMELSAD10,Neighborhood_2010_MTFCC10,Neighborhood_2010_FUNCSTAT10,Neighborhood_2010_ALAND10,Neighborhood_2010_AWATER10,Neighborhood_2010_INTPTLAT10,Neighborhood_2010_INTPTLON10,Neighborhood_2010_Shape_Leng,Neighborhood_2010_FID_Neighb,Neighborhood_2010_AREA,Neighborhood_2010_PERIMETER,Neighborhood_2010_NEIGHBOR_,Neighborhood_2010_NEIGHBOR_I,Neighborhood_2010_HOOD,Neighborhood_2010_HOOD_NO,Neighborhood_2010_ACRES,Neighborhood_2010_SQMILES,Neighborhood_2010_DPWDIV,Neighborhood_2010_UNIQUE_ID,Neighborhood_2010_SECTORS,Neighborhood_2010_Shape_Le_1,Neighborhood_2010_Shape_Ar_1,Neighborhood_2010_Page_Number,SNAP_All_csv_Neighborhood,SNAP_All_csv_Sector__,Pop__1940,Pop__1950,Pop__1960,Pop__1970,Pop__1980,Pop__1990,Pop__2000,Pop__2010,F__Pop__Change__60_70,F__Pop__Change__70_80,F__Pop__Change__80_90,F__Pop__Change__90_00,F__Pop__Change__00_10,Pop__as___of_City_total__2010_,Land_Area__sq__mi_,SNAP_All_csv_Land_Area__acres_,Persons___sq__mi__2010_,Persons___sq__mi__2000_,SNAP_All_csv_Persons___acre__20,SNAP_All_csv_Persons___acre__21,SNAP_All_csv___African_American,SNAP_All_csv___Asian__2010_,SNAP_All_csv___Other__2010_,SNAP_All_csv___White__2010_,SNAP_All_csv___2__Races__2010_,SNAP_All_csv___Hispanic__of_any,F__Pop__Age___5__2010_,F__Pop__Age_5_19__2010_,F__Pop__Age_20_34__2010_,F__Pop__Age_35_59__2010_,F__Pop__Age_60_74__2010_,F__Pop__Age___75__2010_,SNAP_All_csv_Total___Units__200,SNAP_All_csv_Total___Units__201,SNAP_All_csv___Occupied_Units__,SNAP_All_csv___Vacant_Units__20,SNAP_All_csv___Occupied_Units_1,SNAP_All_csv___Owner_Occupied_U,SNAP_All_csv___Renter_Occupied_,Est__Avg__Yrs__of_Residence__20,SNAP_All_csv___Living_in_Househ,SNAP_All_csv___Living_in_Group_,SNAP_All_csv___Units_Built_00_0,SNAP_All_csv___Units_Built_90_9,SNAP_All_csv___Units_Built_80_8,SNAP_All_csv___Units_Built_60_7,SNAP_All_csv___Units_Built_40_5,SNAP_All_csv___Units_Built_befo, SNAP_All_csv_Median_Home_Value_ ,Med__Val____00_in__10_Dollars_,SNAP_All_csv_Median_Home__Value,SNAP_All_csv___Change_Real_Valu,SNAP_All_csv_Median_Sale_Price_,SNAP_All_csv___Sales_Counted__2,SNAP_All_csv_Foreclosures__2008,SNAP_All_csv_Foreclosures__2010,SNAP_All_csv___of_all_Housing_U,Total_Age_16__N_hood_Residents_,SNAP_All_csv_Resident_Jobs__Con,SNAP_All_csv_Resident_Jobs__Man,SNAP_All_csv_Resident_Jobs__Ret,SNAP_All_csv_Resident_Jobs__Tra,SNAP_All_csv_Resident_Jobs__Inf,SNAP_All_csv_Resident_Jobs__Fin,SNAP_All_csv_Resident_Jobs__Pro,SNAP_All_csv_Resident_Jobs__Edu,SNAP_All_csv_Resident_Jobs__Art,SNAP_All_csv_Resident_Jobs__Pub,SNAP_All_csv_Resident_Jobs__Oth,Total___Jobs_Located_in_N_hood_,SNAP_All_csv_Jobs_in__Hood__Con,SNAP_All_csv_Jobs_in__Hood__Man,SNAP_All_csv_Jobs_in__Hood__Ret,SNAP_All_csv_Jobs_in__Hood__Tra,SNAP_All_csv_Jobs_in__Hood__Inf,SNAP_All_csv_Jobs_in__Hood__Fin,SNAP_All_csv_Jobs_in__Hood__Pro,SNAP_All_csv_Jobs_in__Hood__Edu,SNAP_All_csv_Jobs_in__Hood__Art,SNAP_All_csv_Jobs_in__Hood__Pub,SNAP_All_csv_Jobs_in__Hood__Oth,SNAP_All_csv_Total_Pop__25_and_,Edu__Attainment__Less_than_High,Edu__Attainment__High_School_Gr,Edu__Attainment__Assoc__Prof__D,Edu__Attainment__Bachelor_s_Deg,Edu__Attainment__Postgraduate_D,SNAP_All_csv_1999_Median_Income,SNAP_All_csv_2009_Median_Income,SNAP_All_csv_1999_Median_Inco_1,F2009_Med__Income___13_Dollars_,Est__Pop__for_which_Poverty_Cal,Est__Pop__Under_Poverty__2010_,Est__Percent_Under_Poverty__201,SNAP_All_csv__Part_1__Major_Cri,SNAP_All_csv__Part_2_Reports__2,SNAP_All_csv__Other_Police_Repo,SNAP_All_csv_Part_1_Crime_per_1,SNAP_All_csv_Part_2_Crime_per_1,SNAP_All_csv__Murder__2010_,SNAP_All_csv__Rape__2010_,SNAP_All_csv__Robbery__2010_,F_Agr__Assault__2010_,SNAP_All_csv__Burglary__2010_,SNAP_All_csv__Auto_Theft__2010_,SNAP_All_csv__Drug_Violations__,SNAP_All_csv_Land_Area__acres1,Approx__Total___Parcels__2010_,Approx__Total___Taxable_Parcels,Approx____of_Structures__2010_,Approx____Unoccupied_Parcels__2,SNAP_All_csv___Good___Excellent,SNAP_All_csv___Average_Conditio,SNAP_All_csv___Poor___Derelict_,F__Residential_Bldg__Permits__2,F__Residential_Bldg__Permits__3,F__Commercial_Bldg__Permits__20,F__Commercial_Bldg__Permits__21,SNAP_All_csv___Code_Violations_,F__of_all_Bldgs__w__Code_Violat,SNAP_All_csv___Condemned_Struct,F__of_all_Bldgs__Condemned__201,SNAP_All_csv___Demolitions__201,F__Tax_Delinquent_Prop___2__yrs,F__of_Taxable_Prop__Delinquent_,SNAP_All_csv_Landslide_Prone___,SNAP_All_csv_Undermined____land,SNAP_All_csv_Flood_Plain____lan,SNAP_All_csv___Street_Trees,SNAP_All_csv_Park_Space__acres_,SNAP_All_csv_Park_Space____of_l,Park_Space__acres_1000_pers__,SNAP_All_csv_Greenway____of_lan,SNAP_All_csv_Woodland____of_lan,SNAP_All_csv_Cemetery____of_lan,SNAP_All_csv_Residential,SNAP_All_csv_Mixed_Use___Commer,SNAP_All_csv_Mixed_Use___Indust,Institutional___Edu____Med_,SNAP_All_csv_Open_Space,SNAP_All_csv_Hillside,SNAP_All_csv_Special_Land_Use,SNAP_All_csv_Miles_of_Major_Roa,SNAP_All_csv_Total_Street_Miles,Street_Density__st__mi_area_sq_,SNAP_All_csv___Sets_of_Steps,SNAP_All_csv___Step_Treads,Res__Permit_Parking_Area_s_,Total_Working_Pop___Age_16____2,SNAP_All_csv_Commute_to_Work__D,SNAP_All_csv_Commute_to_Work__C,SNAP_All_csv_Commute_to_Work__P,SNAP_All_csv_Commute_to_Work__T,SNAP_All_csv_Commute_to_Work__M,SNAP_All_csv_Commute_to_Work__B,SNAP_All_csv_Commute_to_Work__W,SNAP_All_csv_Commute_to_Work__O,SNAP_All_csv_Work_at_Home__2010
71,233,42,3,140500,3,4.20E+11,Block Group 3,G5030,S,172851,0,40.4523867,-79.9073195,6787.52765,47,7968760,13891.873,48,2130,Point Breeze North,64,183.781,0.286,2,113,11,13891.87335,7968760.149,,Point Breeze North,11,3518,4120,3552,3135,2705,2513,2304,2054,-11.74%,-13.72%,-7.10%,-8.32%,-10.85%,0.67%,0.3,183,7181.8,8055.9,11.2,12.6,55.36%,3.12%,1.46%,35.10%,4.97%,3.40%,0.67%,9.81%,33.96%,31.17%,14.23%,10.17%,1208,1167,89.00%,11.00%,909,39.50%,60.50%,3,100.00%,0.00%,0.00%,1.60%,5.00%,4.80%,23.40%,65.10%," 83,200 ","$105,356 ","$99,500 ",-5.60%,"$57,250 ",24,7,5,0.40%,1028,1.30%,2.90%,3.00%,1.10%,5.60%,4.00%,5.80%,46.00%,17.80%,5.90%,6.50%,1970,4.80%,14.70%,10.20%,1.00%,1.80%,5.60%,7.90%,37.10%,0.50%,2.30%,14.20%,1288,6.80%,35.00%,8.50%,28.30%,21.40%,35417,35041,47048,38195,1652,331,20.00%,84,63,63,4.1,3.1,0,0,4,5,13,10,9,183,703,656,682,66,5.70%,93.30%,1.00%,6,381897,6,181000,51,7.50%,6,0.90%,6,44,6.70%,0.00%,0.00%,0.00%,442,12,6.60%,5.9,0.00%,0.00%,0.00%,60.00%,3.60%,29.90%,0.00%,6.40%,0.00%,0.00%,1.63,6.74,23.6,0,0,None,969,39.90%,16.30%,35.70%,0.00%,0.00%,0.00%,1.50%,1.20%,5.30%
72,240,42,3,980900,1,4.20E+11,Block Group 1,G5030,S,1453388,854869,40.4659231,-80.0458881,13293.01044,18,6426350.5,13293.011,19,2101,Marshall-Shadeland,50,148.209,0.231,1,0,2,13293.01044,6426350.594,,Marshall-Shadeland,2,15944,14183,12038,9013,7550,7903,6951,6043,-25.13%,-16.23%,4.68%,-12.05%,-13.06%,1.98%,1.3,802.6,4819,5543.1,7.5,8.7,43.32%,0.25%,2.95%,51.43%,2.05%,2.90%,4.58%,20.60%,18.71%,40.37%,8.57%,7.17%,2448,2253,81.10%,18.90%,1939,62.00%,38.00%,7,92.00%,8.00%,1.50%,0.00%,0.00%,3.40%,27.70%,67.50%," 47,100 ","$59,643 ","$61,900 ",3.80%,"$13,500 ",101,37,37,1.60%,2059,6.40%,5.40%,14.50%,3.50%,1.70%,7.10%,3.30%,31.00%,16.40%,1.90%,8.60%,2784,9.20%,14.70%,5.90%,23.00%,0.10%,0.50%,2.90%,10.20%,1.30%,14.90%,17.20%,3401,24.70%,57.50%,6.10%,8.20%,3.50%,29021,32608,38552,35543,4478,1265,28.20%,222,307,126,3.7,5.1,1,0,26,24,65,21,31,802.6,2700,2452,2456,506,7.20%,88.90%,3.80%,17,427343,6,16920800,190,7.70%,43,1.80%,31,433,17.70%,27.60%,0.00%,33.10%,296,6.6,0.80%,1.1,0.00%,7.80%,10.80%,32.50%,3.10%,44.10%,0.00%,20.30%,0.00%,0.00%,7.06,24.54,19.6,27,1295,None,2006,48.90%,9.30%,34.30%,0.00%,0.00%,0.00%,5.30%,0.50%,1.60%
73,246,42,3,310200,4,4.20E+11,Block Group 4,G5030,S,1047140,0,40.3745282,-79.9191876,15834.11528,94,27425090,27507.9,95,2177,Lincoln Place,46,632.497,0.984,4,113,8,27507.90025,27425088.8,,Lincoln Place,8,3249,4187,5434,5300,4619,3841,3671,3227,-2.47%,-12.85%,-16.84%,-4.43%,-12.09%,1.06%,1,629.8,3279.5,3730.7,5.1,5.8,1.49%,0.22%,0.34%,97.03%,0.93%,0.60%,6.14%,13.42%,19.48%,38.48%,13.11%,9.38%,1619,1569,92.70%,7.30%,1586,88.30%,11.70%,15,100.00%,0.00%,1.00%,0.00%,1.80%,16.70%,43.70%,36.80%," 65,300 ","$82,689 ","$77,700 ",-6.00%,"$55,000 ",59,18,13,0.80%,1907,7.20%,4.10%,16.60%,4.40%,0.40%,9.40%,12.30%,22.40%,5.50%,7.30%,10.30%,178,0.00%,2.20%,8.40%,2.20%,0.00%,0.00%,0.00%,14.00%,19.70%,16.90%,36.50%,2554,10.30%,66.30%,8.40%,11.40%,3.50%,38889,41188,51660,44895,3584,129,3.60%,32,63,33,1,2,0,0,1,3,11,2,0,629.8,1766,1719,1958,193,2.10%,97.70%,0.20%,14,212305,1,57000,31,1.60%,0,0.00%,4,56,3.30%,5.60%,91.80%,0.10%,263,23.4,3.70%,7.2,6.40%,26.40%,0.00%,80.10%,1.70%,0.00%,0.00%,18.20%,0.00%,0.00%,2.95,21.96,22.3,5,248,None,1881,83.90%,5.00%,8.90%,0.00%,0.00%,0.00%,0.30%,1.00%,0.90%
74,251,42,3,320400,3,4.20E+11,Block Group 3,G5030,S,196086,0,40.3911959,-79.9952543,10313.21235,93,23393388,31957.504,94,2176,Overbrook,60,539.515,0.839,4,24,5,31957.50323,23393386.86,,Overbrook,5,4591,5278,6704,6104,5143,4456,4041,3644,-8.95%,-15.74%,-13.36%,-9.31%,-9.82%,1.19%,0.8,537,4343.3,4816.4,6.8,7.5,3.54%,0.91%,0.27%,93.94%,1.34%,1.10%,4.06%,17.43%,20.60%,36.46%,12.40%,9.04%,1726,1706,92.90%,7.10%,1700,88.20%,11.80%,16,100.00%,0.00%,0.00%,0.00%,0.00%,8.90%,51.60%,39.40%," 61,850 ","$78,321 ","$76,200 ",-2.70%,"$63,150 ",64,18,0,0.00%,2050,9.20%,8.10%,5.70%,6.40%,2.20%,7.60%,12.60%,25.50%,6.70%,5.90%,10.00%,843,12.50%,4.70%,23.10%,3.40%,0.50%,1.20%,22.50%,10.70%,7.10%,1.20%,13.00%,2745,6.60%,65.80%,13.60%,11.20%,2.90%,37981,42244,50454,46046,3815,445,11.70%,73,92,98,2,2.5,0,0,4,7,26,14,9,537,2098,1962,1944,347,2.40%,97.10%,0.50%,21,138748,5,64200,79,4.10%,5,0.30%,4,95,4.80%,0.00%,77.50%,3.90%,270,17.2,3.20%,4.7,0.00%,18.30%,0.00%,65.90%,17.00%,1.90%,0.00%,12.70%,2.50%,0.00%,2.66,20.92,24.9,14,820,None,2015,68.10%,13.80%,15.50%,0.00%,0.00%,0.00%,2.60%,0.00%,0.00%
75,286,42,3,130400,3,4.20E+11,Block Group 3,G5030,S,115917,0,40.449689,-79.8859784,6090.014007,44,11104194,16565.754,45,2127,Homewood South,42,256.093,0.398,2,24,11,16565.7535,11104193.78,,Homewood South,11,13022,12610,22463,8876,6228,4811,3647,2344,-60.49%,-29.83%,-22.75%,-24.19%,-35.73%,0.77%,0.4,254.7,5889.4,9163.3,9.2,14.3,94.71%,0.30%,0.81%,1.96%,2.22%,0.90%,10.12%,12.91%,11.16%,31.93%,18.54%,15.33%,2047,1507,71.60%,28.40%,1087,45.60%,54.40%,7,100.00%,0.00%,0.70%,2.50%,3.00%,10.10%,16.60%,67.10%," 33,800 ","$42,801 ","$48,400 ",13.10%,"$7,000 ",107,15,10,0.70%,648,1.40%,4.20%,16.00%,8.30%,0.00%,9.00%,1.90%,43.50%,3.90%,2.30%,9.60%,689,0.60%,7.80%,0.60%,4.40%,4.40%,11.60%,4.40%,37.60%,12.30%,10.70%,5.70%,1537,23.10%,58.40%,7.40%,7.90%,3.20%,16724,20190,22216,22007,2114,675,31.90%,243,274,197,10.4,11.7,4,0,38,25,74,30,50,254.7,1939,1649,1008,791,9.80%,72.50%,17.80%,19,197425,6,366800,266,26.40%,78,7.70%,20,614,37.20%,0.00%,0.00%,0.00%,266,2.9,1.10%,1.2,0.00%,0.00%,0.00%,69.20%,14.20%,13.40%,0.00%,3.20%,0.00%,0.00%,1.76,16.69,41.9,0,0,O,598,45.50%,12.50%,34.10%,0.00%,0.00%,0.00%,4.30%,0.00%,3.50%
76,292,42,3,130200,2,4.20E+11,Block Group 2,G5030,S,186305,0,40.4594767,-79.8955903,5810.236224,32,12103512,16962.012,33,2115,Homewood North,41,279.14,0.434,2,57,11,16962.01165,12103511.79,,Homewood North,11,13599,13316,11775,8645,7057,5331,4522,3280,-26.58%,-18.37%,-24.46%,-15.18%,-27.47%,1.07%,0.4,277.8,7557.6,10419.4,11.8,16.3,93.29%,0.21%,1.59%,2.07%,2.84%,1.90%,8.99%,25.97%,13.95%,34.54%,10.17%,6.39%,2171,1807,71.60%,28.40%,1515,40.70%,59.30%,6,100.00%,0.00%,1.00%,0.00%,2.50%,9.80%,23.30%,63.40%," 37,900 ","$47,993 ","$35,450 ",-26.10%,"$6,991 ",51,12,13,0.70%,1200,0.00%,10.20%,20.30%,5.40%,5.70%,7.30%,1.40%,33.30%,9.80%,2.90%,3.80%,2820,3.50%,0.00%,0.70%,1.20%,0.50%,1.40%,0.70%,81.60%,0.70%,6.70%,2.80%,2102,15.80%,68.80%,5.80%,8.80%,0.70%,19229,21158,25543,23062,3570,1988,55.70%,198,190,135,6,5.8,3,3,14,33,68,24,23,277.8,2535,2088,1582,946,1.20%,86.40%,12.30%,15,166517,2,20500,296,18.70%,90,5.70%,20,976,46.70%,0.00%,2.30%,0.00%,316,6.8,2.50%,2.1,0.00%,5.60%,0.00%,89.90%,3.30%,0.00%,0.00%,6.80%,0.00%,0.00%,1.76,16.79,38.7,8,565,None,1174,47.60%,4.00%,35.80%,0.00%,0.00%,0.00%,7.80%,0.00%,4.90%
77,308,42,3,120700,2,4.20E+11,Block Group 2,G5030,S,200053,0,40.4569713,-79.9050701,6871.688075,35,5542252.5,10087.878,36,2118,Homewood West,43,127.819,0.199,2,81,11,10087.87731,5542252.622,,Homewood West,11,4369,4309,3733,2745,1873,1369,1114,818,-26.47%,-31.77%,-26.91%,-18.63%,-26.57%,0.27%,0.2,127.4,4110.6,5598,6.4,8.7,95.60%,0.12%,0.49%,2.32%,1.47%,0.90%,5.45%,24.84%,12.31%,24.95%,20.04%,12.42%,583,532,77.80%,22.20%,444,28.60%,71.40%,4,100.00%,0.00%,20.20%,0.00%,0.00%,12.90%,14.70%,52.10%," 38,400 ","$48,626 ","$34,500 ",-29.10%,"$6,029 ",66,6,1,0.20%,285,0.00%,5.30%,11.90%,0.00%,0.00%,8.80%,0.00%,46.30%,5.30%,4.60%,17.90%,379,23.70%,0.00%,4.00%,2.60%,5.30%,0.00%,33.00%,6.60%,11.90%,0.00%,12.90%,608,26.80%,53.60%,11.00%,7.60%,1.00%,20658,14423,27442,15721,918,338,36.80%,56,75,52,6.8,9.2,1,0,8,3,11,13,7,127.4,720,614,400,299,2.40%,85.00%,12.60%,3,10326,2,33797,87,21.80%,6,1.50%,8,212,34.50%,4.00%,0.00%,0.00%,64,0.8,0.60%,0.9,0.00%,5.60%,0.00%,52.20%,6.50%,34.90%,0.00%,6.30%,0.00%,0.00%,1.58,6.43,32.3,0,0,None,285,28.40%,27.70%,30.50%,0.00%,0.00%,0.00%,10.90%,0.00%,2.50%
78,313,42,3,562800,2,4.20E+11,Block Group 2,G5030,S,653726,0,40.4269246,-80.0658036,15834.27699,70,7024962,15925.736,71,2153,Oakwood,59,162.015,0.252,5,113,4,15925.73611,7024961.878,,Oakwood,4,737,775,1469,1882,1195,1108,1028,1027,28.11%,-36.50%,-7.28%,-7.22%,-0.10%,0.34%,0.3,161.3,4075.4,4079.4,6.4,6.4,5.84%,1.07%,0.88%,90.26%,1.95%,1.10%,2.53%,19.08%,17.27%,30.38%,13.74%,17.00%,551,571,95.40%,4.60%,575,43.80%,56.20%,5,100.00%,0.00%,0.00%,3.50%,8.10%,22.60%,38.20%,27.60%," 74,500 ","$94,339 ","$108,500 ",15.00%,"$105,000 ",9,0,0,0.00%,418,9.80%,3.80%,9.60%,2.90%,4.50%,4.30%,9.30%,28.50%,10.30%,10.50%,6.50%,414,8.50%,2.40%,2.40%,1.00%,0.00%,4.80%,21.70%,19.30%,16.90%,3.60%,19.30%,764,16.10%,54.30%,11.10%,6.30%,12.20%,29716,34345,39475,37436,1106,137,12.40%,14,14,23,1.4,1.4,0,0,2,1,2,1,2,161.3,435,388,408,67,20.30%,79.20%,0.50%,5,127974,4,205250,5,1.20%,1,0.20%,0,18,4.60%,0.00%,46.60%,0.00%,101,4.9,3.00%,4.8,0.00%,33.80%,0.00%,63.20%,16.70%,0.00%,0.00%,20.00%,0.00%,0.00%,1.77,5.72,22.7,3,57,None,431,78.40%,2.60%,12.30%,0.00%,0.00%,0.00%,4.60%,0.00%,2.10%
79,321,42,3,111500,4,4.20E+11,Block Group 4,G5030,S,273819,0,40.4612717,-79.9187769,7027.658693,16,16201454,22746.877,17,2099,East Liberty,29,373.65,0.581,2,25,12,22746.87684,16201453.71,,East Liberty,12,13754,14954,12005,8647,8741,7973,6871,5869,-27.97%,1.09%,-8.79%,-13.82%,-14.58%,1.92%,0.6,371.8,10101.5,11826.2,15.8,18.5,67.75%,3.24%,0.90%,25.00%,3.12%,2.40%,6.83%,16.89%,26.14%,28.17%,8.97%,13.00%,4062,3519,86.80%,13.20%,3114,21.50%,78.50%,3,94.20%,5.80%,5.20%,6.00%,6.00%,26.20%,13.40%,43.20%," 51,400 ","$65,088 ","$64,650 ",-0.70%,"$79,250 ",78,17,10,0.30%,2400,0.50%,8.50%,9.00%,3.30%,1.80%,12.70%,6.50%,40.60%,7.60%,2.20%,7.40%,5553,1.60%,5.10%,10.70%,4.40%,3.10%,7.40%,15.80%,21.80%,10.10%,8.10%,11.90%,4176,15.40%,49.00%,9.10%,16.50%,10.00%,18778,22958,24945,25024,6137,2030,33.10%,488,446,302,8.3,7.6,2,2,63,40,64,59,57,371.8,1548,1340,1178,290,21.20%,74.80%,4.10%,42,922235,34,16982725,77,6.50%,10,0.80%,7,83,6.20%,0.80%,0.00%,0.00%,703,18.8,5.10%,3.2,0.00%,1.00%,0.00%,61.30%,26.40%,3.00%,4.50%,0.40%,1.60%,2.80%,4.59,21.13,36.4,0,0,None,2377,47.90%,10.10%,23.80%,0.00%,0.00%,0.00%,15.90%,0.90%,1.40%
80,325,42,3,562800,1,4.20E+11,Block Group 1,G5030,S,1122222,0,40.4202222,-80.0745718,18432.54281,77,12049543,18475.564,78,2160,East Carnegie,27,277.895,0.432,5,94,4,18475.56306,12049542.73,,East Carnegie,4,1827,1579,1291,992,795,605,485,570,-23.16%,-19.86%,-23.90%,-19.83%,17.53%,0.19%,0.4,276.5,1319.4,1122.7,2.1,1.8,16.14%,0.53%,2.63%,78.42%,2.28%,4.40%,0.00%,20.00%,5.10%,42.35%,12.55%,20.00%,193,251,89.20%,10.80%,114,71.90%,28.10%,30,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,30.20%,69.80%," 54,400 ","$68,887 ","$63,500 ",-7.80%,"$48,250 ",16,1,2,0.80%,109,19.30%,21.10%,0.00%,0.00%,0.00%,0.00%,11.90%,37.60%,0.00%,0.00%,10.10%,554,7.20%,45.10%,7.20%,1.80%,10.80%,9.00%,4.50%,2.70%,3.60%,0.00%,7.90%,204,9.80%,79.90%,4.90%,0.00%,5.40%,26429,40750,35108,44418,255,32,12.50%,9,11,11,1.6,1.9,0,0,0,1,5,0,0,276.5,308,283,350,57,3.10%,96.60%,0.30%,2,9100,0,0,10,2.90%,0,0.00%,0,17,6.00%,0.00%,17.20%,4.20%,11,0.5,0.20%,0.8,0.00%,19.80%,15.80%,36.00%,0.40%,26.20%,0.00%,37.40%,0.00%,0.00%,0.77,5.55,12.9,0,0,None,86,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
81,326,42,3,310300,1,4.20E+11,Block Group 1,G5030,S,2048522,0,40.3879201,-79.9225537,22945.93729,92,22145166,22933.324,93,2175,New Homestead,55,510.728,0.794,4,94,8,22933.32392,22145165.32,,New Homestead,8,689,974,1105,1289,979,1008,937,990,16.65%,-24.05%,2.96%,-7.04%,5.66%,0.32%,0.8,508.2,1246.9,1180.1,1.9,1.8,8.89%,0.51%,0.61%,87.68%,2.32%,1.70%,4.12%,25.15%,16.32%,29.63%,18.53%,6.25%,387,429,93.90%,6.10%,436,90.40%,9.60%,19,100.00%,0.00%,13.10%,3.20%,3.00%,38.10%,18.10%,24.50%," 90,900 ","$115,107 ","$117,400 ",2.00%,"$100,000 ",11,3,3,0.70%,737,1.90%,3.50%,25.00%,11.40%,0.00%,5.60%,5.80%,22.90%,1.90%,8.00%,14.00%,12,33.30%,0.00%,0.00%,0.00%,0.00%,0.00%,33.30%,33.30%,0.00%,0.00%,0.00%,923,10.10%,63.10%,10.90%,13.00%,2.90%,42019,83167,55818,90652,1360,115,8.50%,7,4,9,0.7,0.4,0,0,0,0,1,2,1,508.2,1095,757,461,651,13.50%,85.80%,0.70%,5,301600,1,0,7,1.50%,0,0.00%,0,87,11.50%,30.90%,58.90%,0.00%,215,2.1,0.40%,2.1,0.00%,62.00%,0.00%,67.00%,0.00%,0.30%,0.00%,32.80%,0.00%,0.00%,0.62,12.11,15.2,0,0,None,737,88.90%,3.70%,1.90%,0.00%,0.00%,0.00%,1.80%,0.00%,3.80%
82,338,42,3,50600,3,4.20E+11,Block Group 3,G5030,S,287852,0,40.450723,-79.9591365,9240.995102,43,8722606,11867.512,44,2126,Upper Hill,85,201.167,0.313,3,19,15,11867.51238,8722605.959,,Upper Hill,15,6071,5884,5216,4187,3190,2590,2246,2057,-19.73%,-23.81%,-18.81%,-13.28%,-8.41%,0.67%,0.3,200.3,6571.9,7175.7,10.3,11.2,77.44%,1.02%,0.97%,18.47%,2.09%,1.40%,5.17%,16.40%,12.78%,40.02%,14.56%,11.06%,1171,1240,81.90%,18.10%,924,75.40%,24.60%,10,100.00%,0.00%,0.90%,0.70%,3.10%,7.80%,13.90%,73.60%," 39,400 ","$49,892 ","$66,300 ",32.90%,"$8,003 ",52,9,11,0.90%,681,1.80%,1.90%,7.60%,2.80%,4.30%,4.10%,11.30%,46.10%,7.60%,7.80%,4.70%,297,1.30%,47.10%,0.00%,0.00%,0.00%,1.30%,5.10%,26.90%,8.40%,0.00%,9.80%,1299,10.20%,55.40%,10.80%,12.70%,11.00%,28274,32000,37559,34880,1799,421,23.40%,45,79,43,2.2,3.8,2,3,6,8,5,6,9,200.3,1344,1192,869,397,5.00%,85.30%,9.70%,9,173724,2,445500,112,12.90%,16,1.80%,18,268,22.50%,38.50%,83.40%,0.00%,235,12.8,6.40%,6.2,0.00%,9.20%,0.00%,76.40%,3.10%,1.90%,0.00%,18.50%,0.20%,0.00%,0.77,9.57,30.6,15,695,None,633,49.00%,13.10%,31.30%,0.00%,0.00%,0.00%,4.30%,2.40%,0.00%
83,348,42,3,50100,3,4.20E+11,Block Group 3,G5030,S,308316,0,40.4459724,-79.9776953,7994.231364,52,8503223,14505.091,53,2135,Middle Hill,51,196.108,0.305,3,25,15,14505.09158,8503222.962,,Middle Hill,15,17029,14929,11849,7681,4262,2829,2143,1707,-35.18%,-44.51%,-33.62%,-24.25%,-20.35%,0.56%,0.3,195.2,5596.7,7026.2,8.7,11,94.32%,0.12%,0.18%,3.81%,1.58%,0.90%,4.38%,15.03%,13.33%,36.70%,22.34%,8.22%,1334,1120,82.10%,17.90%,967,44.30%,55.70%,4,100.00%,0.00%,16.50%,0.00%,4.50%,9.10%,7.80%,62.10%," 30,200 ","$38,242 ","$72,800 ",90.40%,"$4,317 ",152,4,5,0.40%,608,0.00%,3.00%,0.50%,0.00%,4.10%,9.90%,8.40%,50.80%,3.90%,1.50%,17.90%,475,0.00%,0.00%,7.40%,0.00%,0.00%,7.40%,9.50%,40.00%,10.50%,5.30%,20.00%,1252,9.90%,69.50%,7.90%,6.70%,6.00%,21633,22957,28737,25023,1623,429,26.40%,114,234,126,6.7,13.7,0,0,16,10,17,25,102,195.2,1964,1330,587,1154,9.30%,67.00%,23.70%,19,891120,7,8126800,88,15.00%,34,5.80%,29,392,29.50%,0.00%,44.60%,0.00%,221,1.7,0.90%,1,0.00%,1.50%,0.00%,79.50%,20.40%,0.00%,0.10%,0.00%,0.00%,0.00%,0.94,13.26,43.5,9,441,None,606,40.80%,6.80%,48.30%,0.00%,0.00%,0.00%,4.10%,0.00%,0.00%
